date,close,turnover_rate,ma5
2026-02-25,94.75,4.72,91.7
2026-02-26,98.36,5.08,93.44
2026-02-27,95.97,3.41,94.37
2026-03-02,97.08,4.19,95.75
2026-03-03,90.48,4.99,95.33
2026-03-04,90.56,3.2,94.49
2026-03-05,93.12,3.82,93.44
2026-03-06,92.16,2.81,92.68
2026-03-09,87.91,4.6,90.85
2026-03-10,90.01,3.5,90.75
2026-03-11,90.72,3.32,90.78
2026-03-12,89.03,3.2,89.97
2026-03-13,89.17,3.62,89.37
2026-03-16,90.1,3.52,89.81
2026-03-17,86.8,3.14,89.16
2026-03-18,91.04,5.5,89.23
2026-03-19,85.15,5.76,88.45
2026-03-20,83.06,3.18,87.23
2026-03-23,78.55,4.3,84.92
2026-03-24,78.95,2.92,83.35
2026-03-25,82.72,4.0,81.69
2026-03-26,80.93,2.27,80.84
2026-03-27,83.21,2.53,80.87
2026-03-30,86.18,3.75,82.4
2026-03-31,78.74,5.12,82.36
2026-04-01,79.56,3.67,81.72
2026-04-02,77.23,2.76,80.98
2026-04-03,78.15,2.67,79.97
2026-04-07,78.44,2.14,78.42
2026-04-08,83.7,3.66,79.42
2026-04-09,84.45,3.26,80.39
2026-04-10,85.43,3.03,82.03
2026-04-13,85.56,2.39,83.52
2026-04-14,88.09,3.83,85.45
2026-04-15,86.09,3.04,85.92
2026-04-16,86.12,3.01,86.26
2026-04-17,85.9,2.85,86.35
2026-04-20,86.46,3.21,86.53
2026-04-21,87.59,3.29,86.43
2026-04-22,90.48,4.18,87.31
2026-04-23,89.13,4.27,87.91
2026-04-24,89.1,3.16,88.55
2026-04-27,89.12,4.71,89.08
2026-04-28,83.62,8.37,88.29
2026-04-29,83.94,4.59,86.98
2026-04-30,84.71,3.72,86.1
2026-05-06,90.21,6.82,86.32
2026-05-07,92.08,4.51,86.91
2026-05-08,88.86,4.11,87.96
2026-05-11,94.55,8.44,90.08
2026-05-12,93.86,5.04,91.91
2026-05-13,103.25,7.43,94.52
2026-05-14,106.9,12.83,97.48
2026-05-15,107.46,12.01,101.2
2026-05-18,114.19,12.32,105.13
